accuracy,loss,val_accuracy,val_loss
0.6068055033683777,1.3106447458267212,0.8460600972175598,0.5773505568504333
0.8817673921585083,0.43349263072013855,0.9321689605712891,0.27021148800849915
0.9346876740455627,0.24675926566123962,0.9719740152359009,0.15678614377975464
0.9561198353767395,0.17330656945705414,0.9772542715072632,0.10821142047643661
0.966785192489624,0.1280711591243744,0.9800974726676941,0.07921496033668518
0.9738953709602356,0.10073591023683548,0.9874086380004883,0.06021834537386894
0.9756221175193787,0.08646859228610992,0.9882209300994873,0.0509338304400444
0.9781615138053894,0.07307171076536179,0.991064190864563,0.040661342442035675
0.9810056090354919,0.06464391201734543,0.9902518391609192,0.040230292826890945
0.9830370545387268,0.05610537901520729,0.9874086380004883,0.03850711137056351
0.9876078963279724,0.04839015379548073,0.9926888942718506,0.030112355947494507
0.9867953062057495,0.04441326484084129,0.9918765425682068,0.029550209641456604
0.9911630153656006,0.03242705017328262,0.9926888942718506,0.031871162354946136
0.9921787977218628,0.03152008354663849,0.9898456335067749,0.0330900214612484
0.9916709065437317,0.030837886035442352,0.9906579852104187,0.026680758222937584
